批次,批次名称,邀请码,邀请码链接,是否使用,使用人id,使用人昵称,使用时间,邀请码标题,使用须知,申请人,申请原因,生效时间,失效时间,生成时间
649677,Bonnie讲反移情：分析的工具,"		8698817584575165",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/8698817584575165,未使用,,,,Bonnie讲反移情：分析的工具,无,,,"	2019-06-26 15:00:00","	2019-08-24 00:00:00","	2019-06-26 15:11:44"
649677,Bonnie讲反移情：分析的工具,"		8236180802023021",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/8236180802023021,未使用,,,,Bonnie讲反移情：分析的工具,无,,,"	2019-06-26 15:00:00","	2019-08-24 00:00:00","	2019-06-26 15:11:44"
649677,Bonnie讲反移情：分析的工具,"		6295460216968626",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/6295460216968626,未使用,,,,Bonnie讲反移情：分析的工具,无,,,"	2019-06-26 15:00:00","	2019-08-24 00:00:00","	2019-06-26 15:11:44"
649677,Bonnie讲反移情：分析的工具,"		8520428458689906",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/8520428458689906,未使用,,,,Bonnie讲反移情：分析的工具,无,,,"	2019-06-26 15:00:00","	2019-08-24 00:00:00","	2019-06-26 15:11:44"
649677,Bonnie讲反移情：分析的工具,"		2016729889565823",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/2016729889565823,未使用,,,,Bonnie讲反移情：分析的工具,无,,,"	2019-06-26 15:00:00","	2019-08-24 00:00:00","	2019-06-26 15:11:44"
649677,Bonnie讲反移情：分析的工具,"		4538722309108261",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/4538722309108261,未使用,,,,Bonnie讲反移情：分析的工具,无,,,"	2019-06-26 15:00:00","	2019-08-24 00:00:00","	2019-06-26 15:11:44"
649677,Bonnie讲反移情：分析的工具,"		2889078864512856",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/2889078864512856,未使用,,,,Bonnie讲反移情：分析的工具,无,,,"	2019-06-26 15:00:00","	2019-08-24 00:00:00","	2019-06-26 15:11:44"
649677,Bonnie讲反移情：分析的工具,"		3951174275268970",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/3951174275268970,未使用,,,,Bonnie讲反移情：分析的工具,无,,,"	2019-06-26 15:00:00","	2019-08-24 00:00:00","	2019-06-26 15:11:44"
649677,Bonnie讲反移情：分析的工具,"		7507286931159622",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/7507286931159622,未使用,,,,Bonnie讲反移情：分析的工具,无,,,"	2019-06-26 15:00:00","	2019-08-24 00:00:00","	2019-06-26 15:11:44"
649677,Bonnie讲反移情：分析的工具,"		5736589231920627",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/5736589231920627,未使用,,,,Bonnie讲反移情：分析的工具,无,,,"	2019-06-26 15:00:00","	2019-08-24 00:00:00","	2019-06-26 15:11:44"
649677,Bonnie讲反移情：分析的工具,"		2255114525122358",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/2255114525122358,未使用,,,,Bonnie讲反移情：分析的工具,无,,,"	2019-06-26 15:00:00","	2019-08-24 00:00:00","	2019-06-26 15:11:44"
649677,Bonnie讲反移情：分析的工具,"		1947730159366538",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/1947730159366538,未使用,,,,Bonnie讲反移情：分析的工具,无,,,"	2019-06-26 15:00:00","	2019-08-24 00:00:00","	2019-06-26 15:11:44"
649677,Bonnie讲反移情：分析的工具,"		8940086347671153",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/8940086347671153,未使用,,,,Bonnie讲反移情：分析的工具,无,,,"	2019-06-26 15:00:00","	2019-08-24 00:00:00","	2019-06-26 15:11:44"
649677,Bonnie讲反移情：分析的工具,"		0007319912578966",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/0007319912578966,未使用,,,,Bonnie讲反移情：分析的工具,无,,,"	2019-06-26 15:00:00","	2019-08-24 00:00:00","	2019-06-26 15:11:44"
649677,Bonnie讲反移情：分析的工具,"		8079932308120650",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/8079932308120650,未使用,,,,Bonnie讲反移情：分析的工具,无,,,"	2019-06-26 15:00:00","	2019-08-24 00:00:00","	2019-06-26 15:11:44"
649677,Bonnie讲反移情：分析的工具,"		6680779805584253",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/6680779805584253,未使用,,,,Bonnie讲反移情：分析的工具,无,,,"	2019-06-26 15:00:00","	2019-08-24 00:00:00","	2019-06-26 15:11:44"
649677,Bonnie讲反移情：分析的工具,"		2221655736943559",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/2221655736943559,未使用,,,,Bonnie讲反移情：分析的工具,无,,,"	2019-06-26 15:00:00","	2019-08-24 00:00:00","	2019-06-26 15:11:44"
649677,Bonnie讲反移情：分析的工具,"		1498196242095527",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/1498196242095527,未使用,,,,Bonnie讲反移情：分析的工具,无,,,"	2019-06-26 15:00:00","	2019-08-24 00:00:00","	2019-06-26 15:11:44"
649677,Bonnie讲反移情：分析的工具,"		8495952322757358",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/8495952322757358,未使用,,,,Bonnie讲反移情：分析的工具,无,,,"	2019-06-26 15:00:00","	2019-08-24 00:00:00","	2019-06-26 15:11:44"
649677,Bonnie讲反移情：分析的工具,"		7479441871727906",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/7479441871727906,未使用,,,,Bonnie讲反移情：分析的工具,无,,,"	2019-06-26 15:00:00","	2019-08-24 00:00:00","	2019-06-26 15:11:44"
649677,Bonnie讲反移情：分析的工具,"		4914547865348935",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/4914547865348935,未使用,,,,Bonnie讲反移情：分析的工具,无,,,"	2019-06-26 15:00:00","	2019-08-24 00:00:00","	2019-06-26 15:11:44"
649677,Bonnie讲反移情：分析的工具,"		4158566284454429",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/4158566284454429,未使用,,,,Bonnie讲反移情：分析的工具,无,,,"	2019-06-26 15:00:00","	2019-08-24 00:00:00","	2019-06-26 15:11:44"
649677,Bonnie讲反移情：分析的工具,"		4330818562951315",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/4330818562951315,未使用,,,,Bonnie讲反移情：分析的工具,无,,,"	2019-06-26 15:00:00","	2019-08-24 00:00:00","	2019-06-26 15:11:44"
649677,Bonnie讲反移情：分析的工具,"		4639202157691886",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/4639202157691886,未使用,,,,Bonnie讲反移情：分析的工具,无,,,"	2019-06-26 15:00:00","	2019-08-24 00:00:00","	2019-06-26 15:11:44"
649677,Bonnie讲反移情：分析的工具,"		2160345975589743",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/2160345975589743,未使用,,,,Bonnie讲反移情：分析的工具,无,,,"	2019-06-26 15:00:00","	2019-08-24 00:00:00","	2019-06-26 15:11:44"
649677,Bonnie讲反移情：分析的工具,"		3736857334343115",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/3736857334343115,未使用,,,,Bonnie讲反移情：分析的工具,无,,,"	2019-06-26 15:00:00","	2019-08-24 00:00:00","	2019-06-26 15:11:44"
649677,Bonnie讲反移情：分析的工具,"		3766226982879202",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/3766226982879202,未使用,,,,Bonnie讲反移情：分析的工具,无,,,"	2019-06-26 15:00:00","	2019-08-24 00:00:00","	2019-06-26 15:11:44"
649677,Bonnie讲反移情：分析的工具,"		0498062315847901",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/0498062315847901,未使用,,,,Bonnie讲反移情：分析的工具,无,,,"	2019-06-26 15:00:00","	2019-08-24 00:00:00","	2019-06-26 15:11:44"
649677,Bonnie讲反移情：分析的工具,"		7670940768450581",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/7670940768450581,未使用,,,,Bonnie讲反移情：分析的工具,无,,,"	2019-06-26 15:00:00","	2019-08-24 00:00:00","	2019-06-26 15:11:44"
