批次,批次名称,邀请码,邀请码链接,是否使用,使用人id,使用人昵称,使用时间,邀请码标题,使用须知,申请人,申请原因,生效时间,失效时间,生成时间
648779,"Jon Allen讲创伤与依恋创伤","		2266887679445936",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/2266887679445936,已使用,u_5a967df376f6a_408igoLa8S,小敏,"	2019-06-25 18:53:58","Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		4354575815435623",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/4354575815435623,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		0237193947739303",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/0237193947739303,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		7583341596842173",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/7583341596842173,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		3105044422716753",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/3105044422716753,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		3367882741262095",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/3367882741262095,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		1012566784941485",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/1012566784941485,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		8526354866587548",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/8526354866587548,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		6601279119534492",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/6601279119534492,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		9193731307273769",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/9193731307273769,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		3616417502946876",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/3616417502946876,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		0697011083721315",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/0697011083721315,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		0214480419988648",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/0214480419988648,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		3453563400614864",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/3453563400614864,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		1895690899775159",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/1895690899775159,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		6122757864912653",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/6122757864912653,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		4591599586248835",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/4591599586248835,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		9677246885912557",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/9677246885912557,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		1486481254732182",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/1486481254732182,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		7609068928054525",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/7609068928054525,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		0014937474805733",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/0014937474805733,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		3424003394839089",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/3424003394839089,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
